title,company,location,salary,description,pageurl
IT Full Stack Software Engineer-PaymentSpring,Nelnet,"Lincoln, NE 68508",,"Overview
PaymentSpring is creating revolutionary payment processing technology. We’re a team of people that are passionate about payments and technology, solving tough problems, and creating outstanding products for our customers. As a member of the Solutions Group, you’ll be at the forefront of that effort.
The Solutions Group creates web-based software products that are used by businesses to accept payments online, offers an API designed for software developers, and continually seeks to create the latest payment processing technologies.
The Solutions Group is looking for software engineers with a wide range of full stack skills that love a challenge, and have big ambitions. You’ll have the resources you need, be surrounded by payments and technology experts, and have a direct impact as we change an industry.
If you join our team, you’ll get the best of all worlds; you will create amazing technology in a fast-paced and agile startup environment, you’ll deploy the features and products you create to a large (and rapidly growing) customer base, and you’ll be backed by an extraordinary company, Nelnet.
Responsibilities
Technical
An ideal team member will be a full stack engineer that has solid experience with many of these
technologies, however select specialization in just a few will also be considered with great
interest.
Ruby
Ruby Frameworks (Rails, Sinatra, etc.)
HTML 5 / CSS 3
JavaScript (both native and popular libraries such as jQuery)
Relational Databases (MySQL, PostgreSQL, etc.)
DevOps with AWS (including deployment and infrastructure as code tools)
Bonus Technical Skills
The following are not required to be an excellent fit, but we have special interest in the following
experience.
Experience creating and deploying software in a PCI compliant environment
Experience creating software in a low latency, high uptime environment
Experience with service oriented architecture (SOA), API driven software development, and automated testing
Qualifications
EDUCATION:
New graduate? We still want to talk if you have a strong academic background in computer science, engineering, or a related discipline.
EXPERIENCE:
1-3+ years of software engineering experience
Experience solving complex problems, creating algorithms, and working through challenging requirements
Experience creating software in an agile, iterative environment
Experience with source control (Git, branching, merging, etc.)
COMPETENCIES – SKILLS/KNOWLEDGE/ABILITIES:
Of course, we’re interested in more than just your technical skills. We want to make sure that we’re a great fit for each other. Here are some of the characteristics that are must haves for our team.
Motivated and hardworking. This one means a lot to our team, and should mean a lot to you, too.
Excited about working in a fastpaced, startup environment. Sometimes we all have to wear a few different hats.
Detail oriented. We like to go fast, but we still think it through.
Handle stress well. You won’t find any jerks on our team.
Care a lot about creating an exceptional user experience. Even if you don’t work on client side code.
Driven to create something big. You have lofty ambitions and want to be part of a team that changes an industry.
EEO Statement
Nelnet is an Equal Opportunity Employer, complies with Executive Order 11246, and takes affirmative action to ensure that qualified applicants are employed, and that employees are treated during employment, without regard to race, color, religion/creed, national origin, gender, or sex, marital status, age, disability, use of a guide dog or service animal, sexual orientation, military/veteran status, or any other status protected by Federal or State law or local ordinance. Qualified individuals with disabilities who require reasonable accommodations in order to apply or compete for positions at Nelnet may request such accommodations by contacting Nelnet Talent Acquisition & Recruiting.
Nelnet is a Drug Free and Tobacco Free Workplace.",https://www.indeed.com/viewjob?jk=36c341bdf7c0299d&from=serp&vjs=3
Senior Associate Software Engineer - Java Developer,Amgen,"Tampa, FL 33602",,"Amgen is committed to unlocking the potential of biology for patients suffering from serious illnesses by discovering, developing, manufacturing and delivering creative human therapeutics. This approach begins by using tools like advanced human genetics to unravel the complexities of disease and understand the fundamentals of human biology.
Amgen focuses on areas of high unmet medical need and uses its expertise to strive for solutions that improve health outcomes and dramatically improve people’s lives. A biotechnology pioneer since 1980, Amgen has grown to be one of the world’s leading independent biotechnology companies, has reached millions of patients around the world and is developing a pipeline of medicines with breakaway potential.
Main Job Purpose:
Amgen is dedicated to discovering, developing and manufacturing transformative medicines for patients. Amgen is seeking an Associate Software Engineer to develop applications impacting ability to service EHS & Product Complaints organization. The key responsibilities of this role will include architecture & design definition, implementation and testing using Agile development approaches and making use of OOP principles and design patterns.
You will have the requisite technical skills; the opportunity to absorb new domain-specific concepts quickly; high personal standards of productivity and quality while delivery in quick intervals; and the ability to contribute in a collaborative environment.
Key Activities for the Software Engineer – Java include:
Experience developing cloud-based solution leveraging AWS Services
Support enterprise releases, maintenance releases
Participate in architecture improvements
Demo application functionality to external team members, business owners and explain the existing functionality
Work with the development team and other production support team members to ensure the applications are working as expected
Partner with the architects to come up with new ideas to improve overall application functionality and performance
Document processes and requirements in detail to support other development efforts by other team members
Take new challenges and learn new technologies quickly as and when needed
Basic Qualifications:
Bachelor’s degree
OR
Associate’s degree and 4 years of Information Systems experience
Or
High school diploma / GED and 6 years of Information Systems experience
Requirements and Skills:
Experience in programming with Java and J2EE technologies
Full stack development using infrastructure cloud services (AWS preferred) and cloud-native tools
Knowledge of applicable methodologies, tools, standards and procedures
Good interpersonal skills, strong writing and presentation skills
Critical thinking, decision-making and leadership aptitude
Strong organizational and problem-solving abilities
Experience working with agile development methodologies such as Sprint and Scrum
Experience with Software engineering best-practices, including but not limited to version control (Git, TFS, Subversion, etc.), CI/CD (Jenkins, Maven, Gradle, etc.), automated unit testing, Dev Ops.
Our culture is what makes Amgen a special place to work. We have a powerful shared purpose around our mission – to serve patients. We respect one another, recognize contributions, and have embedded collaboration, trust, empowerment and inclusion in all that we do.
We equip all our staff members to live well-rounded, healthy lives. Most recently, Amgen added benefits for transgender employees and continues to pride itself on industry-leading, family-friendly offerings for families of all compositions.
Amgen is an Equal Opportunity employer and will consider you without regard to your race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.",https://www.indeed.com/viewjob?jk=ac954c9baa8ff11d&from=serp&vjs=3
Senior Software Engineer,Microsoft,"Bellevue, WA 98004",,"Are you passionate about building applications and platforms that deliver great user experiences? Would you get excited about giving users a way to transform their innovative ideas into beautiful apps? If so, come join the PowerApps team and help us deliver the next generation business application platform!
Microsoft PowerApps enables our customers create and share visually stunning and behavior-rich mobile and web apps without writing code. Apps built with our technology leverage the power of cloud data and services, user information, device signals, image and video processing to become truly “magical”.
Our team is responsible for the visual designer, the rendering engine, and the application and control framework. The tech is similar in complexity to a game rendering engine, and it uses native device capabilities like camera, location, video, and speech. We rely on cutting-edge technology stacks and the open source community. We surround ourselves with compiler developers, language experts, data platform experts, and server and scalability experts. We integrate with Power BI, Flow, and Common Data Service. We are agile, flexible, customer focused, and constantly on top of the latest techniques.
We work at a startup pace with a focus to ship early and often. We are building a culture around delivering customer value in a differentiated and highly competitive way. As a result, attention to scalability, resiliency and agility is highly valued for candidates.
Responsibilities
We are looking for talented full-stack and cross-platform developers who are experts in building UI for complex web applications. The ideal candidate has outstanding design and coding skills, passion to tackle technically challenging areas and a deep desire to create breakthrough user experiences.
Qualifications
Required Qualifications:
5+ years of software development experience in (MS Azure, C#, ASP.NET, REST, SQL, HTML, JavaScript TypeScript, Java, React, React Native or similar technologies)
BS/MS in Computer Science, Computer Engineering, or equivalent area of study
2+ years of experience developing large scale online services / applications that are secure and have robust performance and reliability
2+ years of experience with Agile development methodologies and unit testing practices
2+ years experience with architecting and developing scalable solutions
A passion for improving engineering practices and producing high quality software
Solid CS fundamentals and strong inclination for architecting at scale
Excellent technical design, problem solving and debugging skills
Good written and oral communication skills, ability to deal with ambiguity
Experience with cross-platform application development on iOS, Android, Windows and modern web browsers
**Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings:
Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",https://www.indeed.com/viewjob?jk=fd4efe6fd0c24b19&from=serp&vjs=3
"Senior Full-Stack Software Engineer, Telemedicine",,"New York, NY 10001",,"Job Description
We want your help to build our Tele-Guidance platform. To lower the amount of expertise needed to use ultrasound, we use augmented reality and streaming video to make real-time remote expertise intuitive and magical - just like having an expert over your shoulder.
In this role, you’ll work closely with scientists and industry leaders, including those on our iOS, Cloud, and data science teams.
Qualifications
4+ years of experience in full-stack web development, especially using Python and JavaScript
Preferred:
Experience with Docker, Django/Flask, React
Experience with cloud infrastructure (especially AWS) and development best practices (continuous delivery, testing)
Some experience with mobile development, especially iOS
Experience with streaming video (WebRTC, Twilio)
Familiarity with Augmented Reality
Videos to watch:
https://www.youtube.com/watch?v=ytPMpxtgKrs
https://www.youtube.com/watch?v=tEt51zu5gm4
Additional Information
In addition to working with colleagues and advisors who are the best and brightest in their fields, we offer great perks:
Full funded medical insurance, dental, vision coverage
401K plan
Competitive salary + equity in the company
Free on-site meals + unlimited healthy snacks
Brand new office in the heart of Manhattan
Pre-tax commuter benefits
The chance to help improve the healthcare and save millions of lives!
Butterfly Network is an equal opportunity employer regardless of race, color, ancestry, religion, gender, national origin, sexual orientation, age, citizenship, marital status, disability, or Veteran status.
We do not accept recruiting agency resumes.",https://www.indeed.com/viewjob?jk=b9824f5db4501669&from=serp&vjs=3
Associate Software Engineer,OpenSesame,"Portland, OR",,"As a Associate Software Engineer you will work to improve your technical ability while helping the team on a broad range of engineering tasks. This is a growth-focused position requiring the following:
technical passion for software engineering
demonstrable aptitude for coding
team player
top notch learning ability
personal tenacity
As a junior engineer you will participate in our agile process while working on a wide range of engineering tasks. The Associate Software Engineer will be expected to:
Fix test failures.
Show proficiency in two of the programming languages we use.
Show proficiency in two of the testing frameworks we use: PHPUnit, NUnit, Jasmine, PyUnit.
Organize code into clear, cohesive abstractions.
Understand build systems like Jenkins and CircleCI.
Write new tests and add tests to cover gaps in testing without outside assistance.
Analyze the security aspects of a feature.
Demonstrate competency in writing and debugging database queries.
Design and tune database tables.
Add internal documentation to our wiki about a feature set that you encounter.
Demonstrate domain proficiency by designing and championing a change to a set of features to implement new functionality.
Manage a production releases without assistance (although always with backup).
Contribute to support, managing most tasks without help.
Demonstrate trust by raising issues with stories as soon as possible.
Demonstrate pace by consistently meeting team story estimates.
Keep team and manager aware of when things are not going as planned and why you think this is.
Master and contribute to the feature planning process.
Commit to team decisions even if they are not your ideas.
Independently suggest solutions for problems and give advantages and disadvantages to the options you lay out.
Receive and internalize feedback constructively.
Independently identify the root cause of problems.
Demonstrate persistence by sticking with a problem, even when others do not have suggestions, find a way.
The ideal candidate for this position will be:
Familiar with one or more of the following languages C#, PHP, python, typescript
Be familiar with the concepts of TDD and Agile
Have experience, at least in school, working on teams to achieve non-trivial results.
Be hungry to learn the full stack of a modern web application.
Have a Bachelors in Computer Science or code camp degree or able to prove work equivalent.
If you are ready to teach and learn every day, come join our team.",https://www.indeed.com/viewjob?jk=762cc998583600de&from=serp&vjs=3
Software Engineer - Robotic Process Automation,Sysco,"Houston, TX 77077",,"Sysco Associate Apply - Click
Here
Company: Corporate Enclave
Location: US-TX-Houston
Zip Code: 77077
Minimum Level of Education: High School or Equivalent
Minimum Years of Experience: 8
Position Type: Exempt
Travel Percentage: 0
More information about this job:
OVERVIEW:
We offer our associates the opportunity to grow personally and professionally, to contribute to the success of a dynamic organization, and to serve others in a manner that exceeds their expectations. We're looking for talented, hard-working individuals to join our team. Come grow with us and let us show you why we’re at the heart of food and service.
Summary
Drives effective delivery of product/platform needs through developing high-quality software and technical solutions. Fluent across the full stack and coaches junior developers to promote a flexible mindset and develop technical competence
Responsibilities
Leverages strong understanding of business to develop high-quality code to meet product/platform requirements
Drives and leads adoption of architecture standards and development practices like Test-Driven development, code reviews, static code analysis etc.
Writes effective technical user stories and ensures that non-functional requirements are met to ensure performance, scaling, resilience and maintainability of software/solutions
Actively resolves defects and manages technical debt
Develops unit tests to ensure good coverage and regression testing ability
Assists in the development of automated tests and environment management scripts
Practices DevOps methods like CI/CD, SDLC automation and proactive monitoring/telemetry
Participates in sprint planning, daily stand-ups, sprint reviews and retrospectives to enable progress, and surface and resolve impediments
Evaluates emerging technologies continually to identify opportunities, trends and best practices to strengthen Sysco’s development practices
May play a supervisory role toward junior technical resources as they commit to and deliver work
Mandatory Experience
Bachelor's degree in CS or 4-5 years of relevant developer experience
8-10 years of experience in developing high performance and highly scalable applications in an agile environment, depending on education
Extensive hands-on experience and expertise in modern programming languages & technologies (Blue Prism, AWS, Java, JavaScript, C#, Python, Ruby, Groovy)
3+ years of experience using SQL (like SQLServer, MySQL, Aurora, etc.)
Experience with AWS (EC2, S3, etc.) is a plus.
Experience in building Web Services using REST and SOAP.
Strong understanding of Scrum, Lean, XP, Kanban and other agile development techniques
Strong experience building and deploying applications on a cloud platform such as AWS
Fluency in DevOps, including continuous integration, continuous deployment / delivery, configuration and containerization, infrastructure as a code, and monitoring
Competencies
Demonstrated “agile-development” mindset with strong customer-focus & results-orientation
Flexible mindset (not married to a single language) and demonstrated ability to grow skillset and work across the full technology stack
Ability to excel in a fast-paced agile environment
Excellent communication skills to effectively manage key business stakeholder relationships
Highly proficient in teamwork and collaboration skills
Applicants must be currently authorized to work in the United States.
Corporate Enclave is proud to be an Equal Opportunity and Affirmative Action employer, and considers qualified applicants without regard to race, color, creed, religion, ancestry, national origin, sex, sexual orientation, gender identity, age, disability, veteran status or any other protected factor under federal, state or local law.
This opportunity is available through Sysco Corporation, its subsidiaries and affiliates.
Employment Type: Full Time",https://www.indeed.com/viewjob?jk=820475149ee73b62&from=serp&vjs=3
.NET Developer - Senior Level,,"Oklahoma City, OK",,"Rural Sourcing seeks several skilled
Senior .NET developers with backgrounds in building scalable, predictable, high-quality, high-performance web applications on the Microsoft technology stack
. Rural Sourcing is America’s leading provider of domestic outsourced IT, and we just opened a state-of-the-art development technology center in downtown Oklahoma City.
As a Senior .NET Developer at Rural Sourcing, you’ll earn a highly-competitive salary, based on your experience, plus an annual bonus! In addition, you will enjoy:
A robust Medical, Dental, and Life Insurance Package.
A 401(k) Retirement Plan.
Substantial paid vacation time off and paid holidays off.
A casual work dress code – jeans welcome!
Work from Home Days – because sometimes it’s just nice to stay in your PJ’s!
Tuition Reimbursement, and much, much more!
Our Senior .NET Developers lead collaborative teams of experienced analysts and developers in building top-performing enterprise systems for our Fortune 1000 clients. You’ll also be building and maintaining internal and external facing web applications as well as:
Building new systems with C#, .NET 4.0, ASP.NET, VB.NET, SQL Server 2008, WCF Web Services, and WCF Data Services.
Updating our existing software products.
Providing leadership and monitoring to Junior and Mid-level .Net associates.
To be considered for a Senior .NET Developer position, you must enjoy working in a team environment, know
software implementation best practices and have:
At least five (5) years of experience with C# / ASP.NET for the Senior .Net position.
A minimum of three (3) years’ experience working with SQL Servers (2005/2008 preferred).
Strong working knowledge of the .NET 3.5/4.0 Framework, including Visual Studio 2008, VB.NET, ASP.NET, ASMX and WCF Web Services, and ADO.NET.
The ability to design and optimize SQL Server 2008 stored procedures.
If you’re a skilled Senior .NET Developer seeking a career at a company that prides itself on bringing IT jobs back to America, then please send your resume now, in complete confidentiality, for immediate consideration.
Rural Sourcing is an Equal Opportunity Employer
Job Type: Full-time
Experience:
C# / ASP.NET: 5 years (Required)
.NET 3.5/4.0: 3 years (Required)
SQL Server: 3 years (Required)
Benefits offered:
Paid time off
Health insurance
Dental insurance
Healthcare spending or reimbursement accounts such as HSAs or FSAs
Other types of insurance
Retirement benefits or accounts
Education assistance or tuition reimbursement
Workplace perks such as food/coffee and flexible work schedules",https://www.indeed.com/cmp/Rural-Sourcing/jobs/Net-Developer-bcca969e6ecbc016?vjs=3
,JP Morgan Chase,"Chicago, IL 60603",,,https://jobs.jpmorganchase.com/ShowJob/Id/234112/Senior%20Software%20Engineering%20%20(Java%20and%20Microsoft%20.NET)
,Virginia Tech,"Blacksburg, VA",,,https://listings.jobs.vt.edu/postings/98357?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed
"Software Engineer, Product (Full Stack)",Facebook,"New York, NY 10017",,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities — we're just getting started.
We are the teams who create all of Facebook's products used by 1.5 billion plus people around the world. Want to build new features and improve existing products like Messenger, Video, Groups, News Feed, Search and more? Want to solve unique, large scale, highly complex technical problems? Facebook is seeking experienced full-stack software engineers to join our product teams. You can help build the next-generation of products that help us connect the next billion people, create new features that have billions of interactions per day and be a part of a team that’s working to help people connect with each other around the globe. Join us! This position is full-time and based in our New York, NY office.
RESPONSIBILITIES
Full stack web/mobile application development with a variety of languages including but not limited to PHP, JavaScript, HTML, etc.
Create consumer products and features using internal programming language Hack
Implement web or mobile interfaces using XHTML, CSS, and JavaScript
Work closely with our PM and design teams to define feature specifications and build the next generation of products leveraging frameworks such as React & React Native
Work closely with operations and infrastructure to build and scale back-end services
Build report interfaces and data feeds
MINIMUM QUALIFICATIONS
6+ years of programming experience
6+ years of experience with relational databases and SQL
6+ years of experience with web technologies: JavaScript, XHTML, CSS
PREFERRED QUALIFICATIONS
B.S. or M.S. Computer Science or related field
Experience with PHP and C++
6+ years of experience with MySQL
Facebook is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-ext@fb.com.",https://www.indeed.com/viewjob?jk=97606c1923cf55ca&from=serp&vjs=3
Java Programmer - Research Bioinformatics,,"La Jolla, CA 92093",,"ActivX Biosciences, Inc. (ActivX) is hiring a Java Programmer to join its Research Informatics team. This role will drive the design, implementation, and maintenance of software to support scientific workflows. The primary focus of this role will be on high performance server-side and thick-client applications and data analysis components.
Located in the Torrey Pines Science Park area in La Jolla, research at ActivX is focused on drug discovery in the therapeutic areas of viral infection and metabolic and inflammatory diseases. Our proprietary KiNativ™ technology, used extensively internally, is also provided on a fee-for-service basis to most other major pharmaceutical and biotech companies. The technology allows the identification and development of highly selective drugs, significantly lowering development risks.
ActivX offers competitive salaries and generous benefits above industry averages. These benefits include comprehensive medical, dental, and vision insurance. paid time off, a 401k plan with company matching contributions, and the potential for an annual bonus incentive based on individual and company performance. The workplace culture at ActivX is inclusive and diverse, and employees are recognized as the driving force behind the company's success.
The Research Informatics group is looking for a smart, self-motivated, and driven individual, who will work with team members to provide robust, scalable software solutions to the research and technology enterprise. Our team is passionate about full-stack work with Java 8, Apache Torque, Turbine, and Velocity, as well as JavaScript, HTML5. We develop high-performance data analysis software in Apache Spark and thick-client applications in JavaFX. Across the company, our cross-disciplinary teams work in a highly collegial environment where individuals take on responsibilities rather than waiting for them to be assigned.
The successful candidate for this position will directly interface with scientists to document, design, develop, and test Java applications in support of the KiNativ™ technology and drug discovery efforts at ActivX.
Additional responsibilities of the position include:
Contribute to the ongoing design and development of software technologies, algorithms, and databases for proteomics and drug discovery data analysis and storage.
Ensure usability and maintainability across all projects by observing team-specified software development standards.
Create requirements documentation and implementation documentation from initial problem descriptions and user requirements through completion.
Assess and make recommendations regarding algorithms, methodologies, third-party APIs, and processes relevant to ActivX’s research informatics projects.
Required Qualifications:
Bachelor’s degree or MS in Computer Science, Computational Biology, Bioinformatics, or related field.
Demonstrated proficiency in JVM languages (e.g. Java, Groovy, or Scala).
Expertise in object-oriented programming concepts and software development principles.
Experience in test-driven development.
Familiarity with git, JIRA, and IDEs like Eclipse or IntelliJ.
Preferred Qualifications:
Familiarity with proteomics or mass spectroscopy data analysis.
Familiarity with scripting languages like Perl or Python.
Proficiency in working with LINUX operating systems.
Experience in relational database design and MySQL as well as familiarity with Oracle RDBMS.
Familiarity with JavaScript, HTML5, C/C++ as well as other scripting or object-oriented programming languages.
Experience in the pharmaceutical or biotechnology industry.
More About ActivX Biosciences, Inc.
ActivX Biosciences, Inc. is a biopharmaceutical company located in La Jolla, California and is a wholly-owned subsidiary of Tokyo-based Kyorin Pharmaceutical Co. Ltd. ActivX utilizes its drug discovery and proteomics profiling capabilities (KiNativ ) to develop small molecules for unmet medical needs. The company applies its proprietary chemical technologies and high-throughput protein analysis to the drug discovery and development process to discover disease mechanisms and optimize drugs for these diseases.
ActivX Biosciences, Inc. provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, ActivX Biosciences, Inc. complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training.
Recruiters do not contact ActivX by phone or email regarding this position.",https://www.indeed.com/viewjob?jk=2c65df84d4611fc8&from=serp&vjs=3
Full Stack Engineer,RiskIQ,"Lenexa, KS",,"RiskIQ is the world leader in Attack Surface Management, providing the most comprehensive discovery, intelligence, and mitigation of threats associated with an organization's digital presence. With more than 80 percent of attacks originating outside the firewall, RiskIQ allows enterprises to gain unified insight and control over web, social, and mobile exposures. Trusted by thousands of security analysts, RiskIQ's platform combines advanced internet data reconnaissance and analytics to expedite investigations, understand digital attack surfaces, assess risk, and take action to protect business, brand, and customers. Based in San Francisco, the company is backed by Summit Partners, Battery Ventures, Georgian Partners, and MassMutual Ventures.
RiskIQ's full stack engineers leverage a ""can-do"" attitude to build anything the customer needs into our products. They work closely with backend engineers, data engineers, architects, QA engineers, and product managers to deliver high-quality work quickly so that our customers are safer.
Your responsibilities will include
Delivering high-quality front end and backend code to production in a timely manner
Triaging customer escalations, using your judgement to identify those that need immediate attention, finding the ""quick wins"" that might allow us to solve the customer need with a minimal change, and digging in to understand what needs to be done.
Requirements
1-2 years experience writing server-side code in Java
1-2 years experience writing client-side JavaScript and HTML
Desired Experience
Experience with React or Redux
Experience with Java's Spring framework
Exposure to databases (e.g., MySQL), full-text search (e.g., SOLR, ElasticSearch), and caching (e.g., Redis, Memcached)
College degree in Computer Science or a related field.
Why work at RiskIQ?
Silicon Valley Vibe in Kansas - Some of our perks include: Unlimited time off, stock options, medical, dental & vision benefits, fully stocked kitchen, weekly lunches, fun and flexible work environment
Fascinating work - Welcome to the dark underbelly of the Internet. We detect, expose, and investigate malware, exploit kits, botnets, affiliate fraud, advertising fraud, and illicit mobile apps, and much more. It is the golden age of internet crime, and we are at the forefront of defensive efforts to stem the tide. Internet security is a global growth industry, and the knowledge you acquire here will be a marketable skill for decades to come.
We're a company on the forefront of a burgeoning industry - We've recently celebrated several new milestones headlined by 80% year-over-year growth revenue growth, the closing of $30.5 million in Series C funding, and recognition by Forrester in its Forrester Wave™: Digital Risk Monitoring, Q3 2016 report, which named RiskIQ a leader.",https://www.indeed.com/viewjob?jk=7136811fec8cc2d7&from=serp&vjs=3
,Becht Engineering,"Liberty Corner, NJ",,,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=0894d882-3d5f-4cce-b9f2-fa6a17b60eb5&jobId=237959&source=IN
Sr. Software Development Engineer - Java/Spring Framework,Charles Schwab,"Austin, TX 73344",,"Description:
Austin - TX, AUS1, 2309 Gracy Farms Lane, 78758
Brad Simons
20190425-2623
We believe that
, when done right, investing liberates people to create their own destiny.
We are driven
by our purpose to champion every client’s goals with passion and integrity.
We respect
and appreciate the diversity of our employees, our clients, and the communities we serve.
We challenge
conventions strategically to create value for our clients, our firm and the world. We live and bring to life the concept of ‘own your tomorrow’ every day.
We champion
our employee strengths, guide their development, and invest in their long-term success.
We hire
optimistic, results-oriented, curious, innovative, and adaptable people with the desire to help our clients and one another succeed.
As a company, we were established by Chuck over 40 years ago to champion Main Street over Wall Street, and to help Americans transform themselves from earners to owners. Through advocacy and innovation, we work to make investing more affordable, accessible and understandable for all. As we enter our fifth decade, we are looking for talented, innovative and driven people who believe they can help themselves, and our clients, create a better future.
Our Opportunity:
Are you an enthusiastic technologist? We’d love to meet you. The CloudOps team is looking for a Staff Software Engineer to help build Schwab’s internal cloud platform. Our team is critical in developing and driving the execution of application modernization and cloud migration strategy. CloudOps is also the “change agent” group within the company. This is an exciting opportunity to join a highly visible team that delivers innovative services at Schwab.
What you’ll do:
You will be joining us as a Sr. Staff Software Engineer with the CloudOps team focused on building reference implementations of our internal cloud PaaS platform (Pivotal Cloud Foundry) that will drive application modernization standards, and faster cloud ready application development. You will also develop productivity systems to enable quicker application development. We are looking for a person with excellent CS fundamentals who is language and technology agnostic. You will:
Develop PCF reference implementations in both Java/Spring and c#/.NET.
Work with development teams across Schwab and build out POCs proving how their applications can move to the cloud.
Work with the team to come up with training curriculum for development teams so they can more quickly migrate to PCF.
Develop our productivity systems and archetypes to enable faster application development following best practices and Schwab standards.
Come up with 'templates' for IDEs (Eclipse, Visual Studio, etc...) that allows developers to get the basics of a Schwab/PCF application right out of the gate.
Mentor and coach other team members with best practices (process and technology)
Partner with application development teams to guide and train them on industry and Schwab proprietary standards and technologies for developing modern cloud ready applications.
What you have:
We are looking for a passionate engineer who cares about writing clean, testable code. We expect you to have:
9+ years software development experience.
Deep knowledge of Java and Spring ecosystem
Experience building RESTful webservices or apps which consume RESTful interfaces.
Experience with BDD, TDD.
DevOps experience building end-to-end CI/CD automation on Bamboo, Jenkins or other CI/CD platforms.
Self-starter and the ability to work across teams and organizations to get things done.
Passion to learn new technologies and best practices for software development.
Bachelor of Science in Computer Science or related fields.
Curiosity and interest to learn and develop on other stacks like .NET (Core and Windows).
Nice to have:
Experience with a PaaS like Cloud Foundry.
Experience with cloud frameworks & design patterns such as Microservices, 12-factor design, OOD etc.
Front end experience with a modern Javascript framework (Angular etc).
Experience building applications with MongoDB, Aerospike or Redis as the storage mechanism.
Experience developing and supporting apps in a high visibility production environment.
What you’ll get:
Comprehensive Compensation and Benefits package
Financial Health: 401k Match, Employee Stock Purchase Plan, Employee Discounts, Personalized advice, Brokerage discounts
Work/Life Balance: Sabbatical, Paid Parental Leave, New Mothers returning to work Program, Tuition Reimbursement Programs, Time off to volunteer, Employee Matching Gifts Program
Everyday Wellness: Health and Lifestyle Wellness Rewards, Onsite Fitness Classes, Healthy Food Choices, Wellness Champions
Inclusion: Employee Resource Groups, Commitment to diversity, Strategic partnerships
Not just a job, but a career, with an opportunity to do the best work of your life
Learn more about Life@Schwab.
Schwab is committed to building a diverse and inclusive workplace where everyone feels valued. As an equal employment opportunity employer, our policy is to provide equal employment opportunities to all employees and applicants without regard to any status that is protected by law. (Please click here to see policy.) Schwab is also an affirmative action employer, focused on advancing women, minorities, veterans, and individuals with disabilities in the workplace. We believe diversity and inclusion are part of our success as a company and our purpose of serving every client with passion and integrity.
If you need an accommodation in the application process, please email accommodations@schwab.com or call HR Direct at 800-725-3535.
Job Specifications
Relocation Offered?:
No
Work Schedule:
Days
Languages:
English - spoken
Current Licenses / Certifications:
None
Relevant Work Experience:
IT-Other Specialty Engineering-2-5 yrs, IT-Other Specialty Engineering-less than 2 yrs, IT-Management/Technical Project Mgmt-6+ yrs, IT-Management/Technical Project Mgmt-2-5 yrs, IT-Management/Technical Project Mgmt-less than 2 yrs, IT-Distributed and Web Development-6+ yrs, IT-Other Specialty Engineering-6+ yrs
Position Located In:
TX - Austin
Education:
BA/BS
Job Type:
Full Time
Category:Information Technology
Activation Date: Friday, May 10, 2019
Expiration Date: Tuesday, November 19, 2019
Apply Here",https://www.indeed.com/viewjob?jk=8780d923e4293984&from=serp&vjs=3
,VMware,"Palo Alto, CA 94304",,,https://careers.vmware.com/job/palo-alto/application-developer/1567/12177878?codes=JBIN
,,"San Francisco, CA 94104",,,https://boards.greenhouse.io/grammarly/jobs/1727896
,PowerSchool,"Folsom, CA 95630",,,http://recruit.hirebridge.com/v3/careercenter/v2/details.aspx?jid=500320&cid=7599&locvalue=1016
